Calendar Day,Normative Stock Required,Receipt,Consumption,Monitored Capacity(coal),Electricity Generated_Coal,Electricity Generated_Nuclear,Electricity Generated_Hydro
2025-05-12,71850.1,2684.0,2572.4,212706.01,3713.1799999999976,160.81000000000003,396.8000000000001
2025-05-11,71850.1,2560.8,2428.7,212706.01,3615.9800000000014,159.89,390.4199999999999
2025-05-10,71850.1,2620.2,2520.1,215291.01,3792.78,160.03000000000006,397.4899999999995
2025-05-09,71850.1,2458.7,2500.4,215291.01,3717.69,156.81,402.04000000000025
2025-05-08,71850.1,2554.9,2466.5,215531.01,3590.0800000000017,157.04,357.63000000000056
2025-05-07,71856.9,2401.2,2377.4,215543.01,3492.980000000004,157.06000000000003,361.0799999999999
2025-05-06,71856.9,2548.9,2328.7,215543.01,3437.309999999998,155.45000000000002,367.0999999999998
2025-05-05,71572.6,2477.7,2354.9,215543.01,3477.8599999999988,156.90999999999997,358.47
2025-05-04,71572.6,2447.1,2330.9,215543.01,3405.95,156.7,319.3499999999998
2025-05-03,71572.6,2395.6,2438.9,215543.01,3611.790000000001,159.14999999999998,351.8399999999996
2025-05-02,71572.6,2440.8,2404.6,215543.01,3532.4999999999995,161.68,365.7400000000003
2025-05-01,71572.6,2484.1,2458.1,215543.01,3616.289999999998,161.72,362.32000000000016
2025-04-30,71397.5,2457.5,2544.3,215543.01,3794.0100000000025,161.77,375.2200000000002
2025-04-29,71397.5,2542.2,2568.2,215543.01,3833.140000000001,161.89,369.75000000000017
2025-04-28,71397.5,2476.1,2578.8,215543.01,3883.7400000000016,162.13000000000005,353.5500000000006
2025-04-27,71397.5,2646.8,2583.4,215543.01,3822.940000000001,161.73999999999998,319.3999999999999
2025-04-26,71397.5,2409.1,2692.5,215543.01,4022.459999999999,156.16,350.2200000000005
2025-04-25,71397.5,2349.5,2709.4,215543.01,4058.440000000004,146.88,361.25000000000017
2025-04-24,71397.5,2333.6,2670.8,215543.01,3992.61,146.36,363.7699999999997
2025-04-23,71397.5,2516.4,2627.2,215543.01,3949.460000000001,152.56,374.9400000000003
2025-04-22,71397.5,2484.1,2635.4,215543.01,3971.5100000000025,162.05999999999997,372.6799999999998
2025-04-21,71397.5,2414.0,2621.5,215543.01,3950.620000000002,161.81000000000003,360.3999999999999
2025-04-20,71397.5,2543.6,2486.0,215543.01,3717.190000000002,161.78999999999996,343.0400000000005
2025-04-19,71397.5,2427.2,2430.5,215543.01,3614.9499999999994,161.50000000000003,363.33
2025-04-18,71397.5,2532.7,2515.6,215543.01,3715.9100000000008,159.97000000000003,372.0400000000001
2025-04-17,71397.5,2540.0,2607.3,215543.01,3830.2299999999977,151.58,360.3499999999999
2025-04-16,71397.5,2512.2,2588.0,215543.01,3830.79,150.19999999999996,371.23999999999984
2025-04-15,71397.5,2615.0,2534.5,215543.01,3740.67,160.20000000000002,314.89999999999986
2025-04-14,71397.5,2572.6,2434.3,215543.01,3602.460000000001,162.55999999999997,263.6199999999999
2025-04-13,71397.5,2629.8,2383.8,215543.01,3467.840000000002,166.96000000000004,246.6899999999998
2025-04-12,71397.5,2428.1,2435.3,215543.01,3538.819999999997,165.79000000000002,274.96999999999974
2025-04-11,71397.5,2383.1,2362.4,215543.01,3453.76,160.94,308.5299999999998
2025-04-10,71397.5,2459.8,2472.3,215543.01,3655.139999999998,161.22000000000003,280.65
2025-04-09,71397.5,2477.7,2627.9,215543.01,3938.0,164.32999999999998,340.38999999999976
2025-04-08,71397.5,2412.8,2645.6,215543.01,3900.6600000000008,165.4,321.43
2025-04-07,71397.5,2594.1,2475.8,215543.01,3739.8600000000006,165.86,291.2799999999998
2025-04-06,71397.5,2635.6,2410.0,215543.01,3575.4000000000005,166.52999999999997,236.81000000000037
2025-04-05,71397.5,2437.0,2515.0,215543.01,3771.760000000003,166.36,253.05999999999997
2025-04-04,71397.5,2627.3,2488.0,215543.01,3730.170000000002,166.32,245.80000000000013
2025-04-03,71397.5,2572.1,2516.3,215543.01,3787.669999999996,165.20000000000002,250.5400000000001
2025-04-02,71333.7,2491.1,2523.4,215193.01,3808.6399999999994,165.94,266.97000000000025
2025-04-01,71333.7,2457.6,2505.3,215193.01,3772.750000000001,165.36999999999998,259.4799999999998
2025-03-31,72086.0,2900.3,2514.2,215193.01,3747.709999999997,170.83,279.22
2025-03-30,72086.0,2866.1,2492.2,215193.01,3695.88,171.6,262.5699999999998
2025-03-29,72086.0,2786.7,2536.7,215193.01,3764.869999999998,173.04000000000002,296.2300000000001
2025-03-28,72086.0,2800.1,2610.2,215193.01,3880.0100000000025,171.94,299.26000000000005
2025-03-27,72086.0,2675.0,2612.6,215193.01,3910.470000000001,162.36,301.18000000000023
2025-03-26,72086.0,2674.0,2596.3,215193.01,3873.569999999996,151.66000000000005,298.48000000000025
2025-03-25,72086.0,2628.3,2578.6,215193.01,3862.439999999997,151.46000000000004,290.4000000000001
2025-03-24,72086.0,2681.9,2526.2,215193.01,3804.3300000000017,148.46,277.3299999999999
2025-03-23,72086.0,2764.4,2417.2,215193.01,3619.5,157.92000000000002,237.87999999999997
2025-03-21,72086.0,2645.6,2585.4,215193.01,3873.619999999999,155.42,289.8099999999997
2025-03-20,72086.0,2637.0,2593.0,215193.01,3909.8199999999993,154.6,290.1099999999997
2025-03-19,72086.0,2552.5,2607.1,215193.01,3924.4700000000007,146.26000000000002,307.03000000000014
2025-03-18,71830.2,2560.4,2596.3,215193.01,3892.849999999999,138.24999999999997,294.25000000000006
2025-03-17,71830.2,2456.6,2594.6,215193.01,3886.369999999999,129.17,290.08
2025-03-16,71830.2,2465.4,2487.1,215193.01,3705.7400000000007,128.06,264.15
2025-03-15,71830.2,2314.6,2407.0,215193.01,3573.6900000000032,118.31,269.6699999999998
2025-03-13,71830.2,2622.5,2618.5,215193.01,3897.319999999996,117.55,280.84000000000003
2025-03-12,71830.2,2718.2,2632.1,215193.01,3996.2400000000007,141.91999999999996,292.7100000000001
2025-03-11,71830.2,2720.7,2635.7,214533.01,4003.6299999999937,156.59000000000003,273.28000000000026
2025-03-10,71830.2,2636.2,2587.8,214533.01,3922.740000000005,161.19,260.34999999999985
2025-03-08,71830.2,2587.0,2605.9,214533.01,3948.020000000001,156.8,274.56999999999994
2025-03-07,71830.2,2683.6,2576.2,214533.01,3907.1900000000032,156.68,276.91
2025-03-06,71830.2,2544.6,2509.6,214533.01,3810.059999999996,156.53,265.59000000000003
2025-03-05,71545.9,2467.7,2404.5,214533.01,3652.080000000001,157.4,280.6
2025-03-03,71545.9,2667.6,2491.4,214533.01,3763.879999999997,161.43,306.6599999999999
2025-03-02,71262.7,2839.2,2422.8,214533.01,3627.7800000000047,156.34,253.33000000000015
2025-03-01,71262.7,2643.8,2462.1,214533.01,3688.82,156.32,306.72
2025-02-28,71262.7,2702.8,2527.4,213873.01,3775.6599999999994,155.9,298.04999999999984
2025-02-27,71262.7,2721.0,2538.9,213873.01,3849.3199999999983,154.20000000000002,241.66999999999985
2025-02-26,71262.7,2751.2,2533.6,213873.01,3833.749999999997,152.34999999999997,219.1300000000003
2025-02-25,71262.7,2675.6,2574.2,213873.01,3896.5900000000015,155.23,220.14000000000016
2025-02-24,71262.7,2730.9,2486.4,213873.01,3753.4699999999993,148.01000000000002,218.52999999999972
2025-02-23,71262.7,2788.4,2461.3,213873.01,3699.3299999999967,140.29999999999998,212.14
2025-02-22,71262.7,2738.3,2527.2,213873.01,3854.12,140.17000000000004,265.35
2025-02-21,71262.7,2582.8,2555.3,213873.01,3879.1999999999994,138.88,252.49000000000032
2025-02-20,71262.7,2519.1,2509.4,213873.01,3804.929999999996,134.6,254.95999999999984
2025-02-19,71262.7,2626.2,2594.5,213873.01,3957.9599999999978,135.70000000000002,276.61999999999983
2025-02-18,71262.7,2557.8,2599.7,213873.01,3918.350000000004,133.99,270.11000000000007
2025-02-17,71262.7,2546.4,2540.7,213873.01,3833.6,131.02999999999997,262.67000000000024
2025-02-16,71262.7,2626.6,2434.1,213873.01,3670.7,135.96,220.45
2025-02-15,71262.7,2459.2,2510.7,213873.01,3759.3899999999994,142.53000000000003,233.66999999999996
2025-02-14,71262.7,2584.0,2543.3,213873.01,3853.910000000005,151.45,264.3400000000001
