Country,Year,Month,Calendar Day,Types Of Fuel,Type Of Category,"Monitored Capacity  (UOM:MW(MegaWatt)), Scaling Factor:1","Targeted Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1","Actual Generation Of Electricity For The Current Day (UOM:MU(MillionUnits)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-17,Coal,Thermal,215636.01,3614.610000000001,2992.8000000000015
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-17,Nuclear,Nuclear,8780,136.84,134.45999999999998
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-17,Hydro,Hydro,49628.16000000005,707.6600000000002,766.9000000000003
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-16,Coal,Thermal,215636.01,3612.8900000000012,3126.6399999999994
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-16,Nuclear,Nuclear,8780,136.84,133.02999999999997
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-16,Hydro,Hydro,49628.16000000005,707.6600000000002,712.2899999999997
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-15,Coal,Thermal,215636.01,3626.700000000001,3085.8299999999986
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-15,Nuclear,Nuclear,8780,136.84,130.66
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-15,Hydro,Hydro,49628.16000000004,714.1800000000001,678.1100000000004
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-14,Coal,Thermal,215636.01,3634.120000000001,3423.240000000001
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-14,Nuclear,Nuclear,8780,136.84,130.61999999999998
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-14,Hydro,Hydro,49628.16000000004,714.1800000000001,650.5600000000003
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-13,Coal,Thermal,215636.01,3625.560000000001,3433.4500000000003
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-13,Nuclear,Nuclear,8780,136.84,132.3
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-13,Hydro,Hydro,49628.16000000004,714.1800000000001,776.6700000000006
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-12,Coal,Thermal,215636.01,3620.880000000001,3321.9600000000005
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-12,Nuclear,Nuclear,8780,136.84,133.72000000000003
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-12,Hydro,Hydro,49628.16000000004,714.1800000000001,775.6300000000006
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-11,Coal,Thermal,215636.01,3620.880000000001,3296.63
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-11,Nuclear,Nuclear,8780,132.68999999999997,129.22
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-11,Hydro,Hydro,49628.16000000004,714.1800000000001,790.2000000000008
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-10,Coal,Thermal,215636.01,3613.550000000001,3155.6900000000023
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-10,Nuclear,Nuclear,8780,132.68999999999997,119.91000000000001
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-10,Hydro,Hydro,49628.16000000004,714.1800000000001,787.3400000000005
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-09,Coal,Thermal,215636.01,3621.2700000000004,3292.9299999999976
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-09,Nuclear,Nuclear,8780,132.68999999999997,117.2
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-09,Hydro,Hydro,49628.16000000004,714.1800000000001,786.2799999999999
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-08,Coal,Thermal,215636.01,3618.060000000001,3546.5299999999993
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-08,Nuclear,Nuclear,8780,132.68999999999997,116.27000000000001
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-08,Hydro,Hydro,49628.16000000004,714.1800000000001,806.680000000001
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-07,Coal,Thermal,215636.01,3618.060000000001,3546.790000000002
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-07,Nuclear,Nuclear,8780,132.68999999999997,118.10000000000001
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-07,Hydro,Hydro,49628.16000000004,714.1800000000001,774.3500000000006
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-06,Coal,Thermal,215636.01,3601.9000000000005,3485.7899999999963
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-06,Nuclear,Nuclear,8780,132.68999999999997,117.99
India,"Calendar Year (Jan - Dec), 2025","August, 2025",2025-08-06,Hydro,Hydro,49628.16000000004,714.1800000000001,729.5400000000005
